index,Номер УИК,"Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования",Число погашенных избирательных бюллетеней,"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования",Число недействительных избирательных бюллетеней,Число действительных избирательных бюллетеней,Число утраченных избирательных бюллетеней,"Число избирательных бюллетеней, не учтенных при получении",Амосов Михаил Иванович,Беглов Александр Дмитриевич,Тихонова Надежда Геннадьевна,Процентов за Амосов Михаил Иванович,Процентов за Беглов Александр Дмитриевич,Процентов за Тихонова Надежда Геннадьевна,Адрес УИК
12,426,2289,2000,653,11,1336,11,653,13,651,0,0,166,376,109,25.0,56.6,16.4,"Адрес помещения для голосования: 195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 40, корпус 3, ГБОУ СОШ №158"
13,427,2168,2000,602,11,1387,11,602,17,596,0,0,150,361,85,24.4,58.8,13.8,"Адрес помещения для голосования: 195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Светлановский проспект, дом 38, корпус 2, ГБОУ лицей №150"
14,428,1960,1500,537,59,904,59,537,24,572,0,0,133,350,89,22.3,58.7,14.9,"Адрес помещения для голосования: 195427, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Академика Константинова, дом 10, корпус 2, ГБОУ Гимназия №148 имени Сервантеса"
15,429,1852,1500,494,11,995,11,494,12,493,0,0,129,273,91,25.5,54.0,18.0,"Адрес помещения для голосования: 195257, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 8, корпус 2, ГБОУ СОШ №137"
16,430,2178,2000,652,15,1333,15,643,20,638,0,0,170,338,130,25.8,51.3,19.7,"Адрес помещения для голосования: 195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 5, корпус 5, ГБОУ СОШ №71"
17,431,1877,1500,439,6,1055,6,439,13,432,0,0,114,256,62,25.6,57.5,13.9,"Адрес помещения для голосования: 195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 5, корпус 5, ГБОУ СОШ №71"
18,432,1918,1500,531,13,956,13,529,23,519,0,0,132,310,77,24.3,57.2,14.2,"Адрес помещения для голосования: 195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 5, корпус 5, ГБОУ СОШ №71"
19,433,2036,1500,466,15,1019,15,465,18,462,0,0,141,237,84,29.3,49.3,17.5,"Адрес помещения для голосования: 195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 13, корпус 3, ГБУ ДО ЦВР ДМ ""Академический"""
20,434,2065,2000,575,15,1410,15,572,6,581,0,0,153,322,106,26.0,54.8,18.0,"Адрес помещения для голосования: 195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Гражданский проспект, дом 92, корпус 3, ГБОУ СОШ №98"
21,435,1901,1500,498,16,986,16,498,16,498,0,0,95,299,104,18.4,58.1,20.2,"Адрес помещения для голосования: 195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Вавиловых, дом 13, корпус 3, ГБУ ДО ЦВР ДМ ""Академический"""
22,436,2120,1500,620,15,865,15,602,25,592,0,0,189,309,94,30.6,50.0,15.2,"Адрес помещения для голосования: 195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Гражданский проспект, дом 92, корпус 3, ГБОУ СОШ №98"
23,437,1814,1500,484,27,989,27,483,14,496,0,0,129,286,81,25.2,56.0,15.8,"Адрес помещения для голосования: 195457, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Гражданский проспект, дом 92, корпус 3, ГБОУ СОШ №98"
24,438,2206,2000,563,15,1422,15,555,13,557,0,0,134,343,80,23.5,60.1,14.0,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Софьи Ковалевской, дом 8, корпус 3, ГБОУ СОШ №78"
25,439,2213,2000,660,4,1336,4,653,10,647,0,0,147,416,84,22.3,63.3,12.7,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Софьи Ковалевской, дом 16, корпус 6, ГБОУ СОШ №98"
26,440,2866,2500,722,9,1769,9,713,28,694,0,0,179,380,135,24.7,52.6,18.7,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Софьи Ковалевской, дом 16, корпус 6, ГБОУ СОШ №98"
27,441,2530,2000,615,12,1373,12,613,18,607,0,0,173,344,90,27.6,55.0,14.4,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 16, корпус 2, ГБОУ СОШ №121"
28,442,2151,2000,574,11,1415,11,574,9,576,0,0,111,374,91,18.9,63.9,15.5,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, проспект Науки, дом 16, корпус 2, ГБОУ СОШ №121"
29,443,2155,2000,548,7,1445,7,548,20,535,0,0,121,320,94,21.8,57.6,16.9,"Адрес помещения для голосования: 195256, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, улица Софьи Ковалевской, дом 8, корпус 3, ГБОУ СОШ №78"
30,444,1752,1500,508,4,988,4,508,27,485,0,0,93,305,87,18.1,59.5,16.9,"Адрес помещения для голосования: 195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 8, корпус 2, ГБОУ СОШ №89"
31,445,2174,2000,586,9,1405,9,586,12,583,0,0,116,348,119,19.5,58.4,20.0,"Адрес помещения для голосования: 195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 8, корпус 2, ГБОУ СОШ №89"
32,446,1786,1500,465,6,1029,6,451,17,440,0,0,103,265,72,22.5,57.9,15.7,"Адрес помещения для голосования: 195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 8, корпус 2, ГБОУ СОШ №89"
33,447,2244,2000,609,18,1373,18,609,10,617,0,0,74,454,89,11.8,72.4,14.1,"Адрес помещения для голосования: 195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 4, корпус 2, ГБОУ СОШ №149"
34,448,2462,2000,555,9,1436,9,554,16,547,0,0,94,353,100,16.7,62.7,17.7,"Адрес помещения для голосования: 195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 4, корпус 2, ГБОУ СОШ №149"
35,449,2444,2000,610,13,1377,13,607,16,604,0,0,107,376,121,17.2,60.6,19.5,"Адрес помещения для голосования: 195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 4, корпус 2, ГБОУ СОШ №149"
36,450,2211,2000,571,12,1417,12,570,14,568,0,0,88,380,100,15.1,65.2,17.1,"Адрес помещения для голосования: 195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 7, корпус 2, ГБОУ СОШ №619"
37,451,2009,1500,457,5,1038,5,457,9,453,0,0,74,297,82,16.0,64.2,17.7,"Адрес помещения для голосования: 195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 7, корпус 2, ГБОУ СОШ №619"
38,452,2535,2000,576,9,1415,9,574,16,567,0,0,86,363,118,14.7,62.2,20.2,"Адрес помещения для голосования: 195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 15, ГБОУ СОШ №96"
39,453,3010,2500,688,7,1805,7,688,17,678,0,0,142,378,158,20.4,54.3,22.7,"Адрес помещения для голосования: 195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 15, ГБОУ СОШ №96"
40,454,1744,1500,414,17,1069,17,411,9,419,0,0,79,283,57,18.4,66.1,13.3,"Адрес помещения для голосования: 195299, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, проспект Просвещения, дом 106, корпус 2, ГБОУ СОШ №175"
41,455,2129,2000,523,8,1469,8,523,16,515,0,0,93,325,97,17.5,61.2,18.2,"Адрес помещения для голосования: 195299, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, проспект Просвещения, дом 106, корпус 2, ГБОУ СОШ №175"
42,456,2372,2000,605,11,1384,11,601,16,596,0,0,144,352,100,23.5,57.5,16.3,"Адрес помещения для голосования: 195267, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 33, корпус 2, ГБОУ СОШ №68"
43,457,2220,2000,510,8,1482,8,510,9,509,0,0,122,302,85,23.5,58.3,16.4,"Адрес помещения для голосования: 195267, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 33, корпус 2, ГБОУ СОШ №68"
44,458,2414,2500,574,12,1914,12,574,15,571,0,0,131,339,101,22.3,57.8,17.2,"Адрес помещения для голосования: 195267, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 35, корпус 2, ГБОУ Лицей №179"
45,459,2421,2000,601,6,1393,4,598,13,589,0,0,99,350,140,16.4,58.1,23.2,"Адрес помещения для голосования: 195267, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 35, корпус 2, ГБОУ Лицей №179"
46,460,2154,2000,514,13,1473,13,501,18,496,0,0,84,319,93,16.3,62.0,18.0,"Адрес помещения для голосования: 195267, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 33, корпус 2, ГБОУ СОШ №68"
47,461,2306,2000,619,14,1367,14,619,16,617,0,0,111,400,106,17.5,63.1,16.7,"Адрес помещения для голосования: 195299, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, проспект Просвещения, дом 106, корпус 2, ГБОУ СОШ №175"
48,462,1748,1500,399,12,1089,12,397,9,400,0,0,115,225,60,28.1,55.0,14.6,"Адрес помещения для голосования: 195265, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Черкасова, дом 8, корпус 2, ГБОУ СОШ №89"
49,463,2057,1500,515,13,972,13,515,14,514,0,0,93,312,109,17.6,59.0,20.6,"Адрес помещения для голосования: 195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 13, ГБОУ СОШ №176"
50,464,2119,2000,492,7,1501,7,492,4,495,0,0,77,325,93,15.4,65.1,18.6,"Адрес помещения для голосования: 195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 13, ГБОУ СОШ №176"
51,465,1878,1500,461,7,1032,7,459,9,457,0,0,104,273,80,22.3,58.5,17.1,"Адрес помещения для голосования: 195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 13, ГБОУ СОШ №176"
52,466,2294,2000,521,13,1466,13,521,18,516,0,0,95,329,92,17.7,61.6,17.2,"Адрес помещения для голосования: 195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 21, ГБОУ СОШ №72"
53,467,1864,1500,417,7,1076,7,417,5,419,0,0,88,257,74,20.7,60.6,17.4,"Адрес помещения для голосования: 195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 21, ГБОУ СОШ №72"
54,468,1899,1500,502,5,993,5,502,24,483,0,0,96,329,58,18.9,64.8,11.4,"Адрес помещения для голосования: 195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ №21, улица Ушинского, дом 21, ГБОУ СОШ №72"
55,469,2458,2000,529,6,1465,6,529,3,532,0,0,52,407,73,9.7,76.0,13.6,"Адрес помещения для голосования: 195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, проспект Культуры, дом 27, корпус 3, ГБОУ СОШ №69"
56,470,2213,1500,526,6,968,6,495,21,480,0,0,78,301,101,15.5,60.0,20.1,"Адрес помещения для голосования: 195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, улица Демьяна Бедного, дом 22, корпус 5, ГБОУ СОШ №81"
57,471,2140,1500,486,7,1007,7,473,13,467,0,0,86,267,114,17.9,55.6,23.7,"Адрес помещения для голосования: 195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, улица Демьяна Бедного, дом 22, корпус 5, ГБОУ СОШ №81"
58,472,2586,2000,578,10,1412,10,578,10,578,0,0,123,362,93,20.9,61.5,15.8,"Адрес помещения для голосования: 195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, проспект Культуры, дом 27, корпус 3, ГБОУ СОШ №69"
59,473,2104,1500,455,9,1036,9,455,16,448,0,0,64,307,77,13.7,66.1,16.5,"Адрес помещения для голосования: 195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, проспект Культуры, дом 27, корпус 3, ГБОУ СОШ №69"
60,474,2422,2000,514,16,1470,16,514,10,520,0,0,76,344,100,14.3,64.9,18.8,"Адрес помещения для голосования: 195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, проспект Культуры, дом 27, корпус 3, ГБОУ СОШ №69"
61,475,2347,2000,515,10,1475,10,495,13,492,0,0,69,334,89,13.6,66.1,17.6,"Адрес помещения для голосования: 195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, улица Демьяна Бедного, дом 22, корпус 5, ГБОУ СОШ №81"
62,476,1438,1000,364,6,630,6,360,12,354,0,0,69,207,78,18.8,56.5,21.3,"Адрес помещения для голосования: 195274, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, улица Демьяна Бедного, дом 12, корпус 2, ГБОУ СОШ №172"
63,477,2880,2000,680,7,1313,7,680,17,670,0,0,124,460,86,18.0,66.9,12.5,"Адрес помещения для голосования: 195274, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, улица Демьяна Бедного, дом 6, корпус 2, ГБОУ СОШ №692"
64,478,2403,2000,573,10,1417,10,571,25,556,0,0,122,358,76,20.9,61.6,13.0,"Адрес помещения для голосования: 195274, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, проспект Культуры, дом 11, корпус 4, ГБОУ Гимназия №63"
65,479,2410,2000,628,6,1366,6,622,19,609,0,0,109,451,49,17.3,71.8,7.8,"Адрес помещения для голосования: 195274, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, проспект Культуры, дом 11, корпус 4, ГБОУ Гимназия №63"
66,480,2566,2000,590,9,1401,9,589,13,585,0,0,94,377,114,15.7,63.0,19.0,"Адрес помещения для голосования: 195274, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, улица Демьяна Бедного, дом 12, корпус 2, ГБОУ СОШ №172"
67,481,2589,2000,637,8,1355,8,620,20,608,0,0,80,432,96,12.7,68.7,15.2,"Адрес помещения для голосования: 195274, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, улица Демьяна Бедного, дом 6, корпус 2, ГБОУ СОШ №692"
68,482,2433,2000,552,8,1440,8,552,15,545,0,0,116,337,92,20.7,60.1,16.4,"Адрес помещения для голосования: 195274, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, проспект Культуры, дом 11, корпус 4, ГБОУ Гимназия №63"
69,483,1771,1500,423,3,1074,3,423,5,421,0,0,80,257,84,18.7,60.3,19.7,"Адрес помещения для голосования: 195274, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Северный, улица Демьяна Бедного, дом 12, корпус 2, ГБОУ СОШ №172"
70,484,2272,2000,585,10,1405,10,585,24,571,0,0,124,330,117,20.8,55.4,19.6,"Адрес помещения для голосования: 195297, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Брянцева, дом 24, литера А, ГБУ СШОР №2"
71,485,2709,2000,661,10,1329,10,661,21,650,0,0,110,407,133,16.3,60.6,19.8,"Адрес помещения для голосования: 195297, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Брянцева, дом 24, литера А, ГБУ СШОР №2"
72,486,2520,2000,583,0,1417,0,583,11,572,0,0,102,375,95,17.5,64.3,16.3,"Адрес помещения для голосования: 195297, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Брянцева, дом 24, литера А, ГБУ СШОР №2"
73,487,1973,1500,551,9,940,9,551,5,555,0,0,76,402,77,13.5,71.7,13.7,"Адрес помещения для голосования: 195297, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, Суздальский проспект, дом 93, корпус 2, ГБОУ Лицей №144"
74,488,1799,1500,455,8,1037,8,455,15,448,0,0,79,281,88,17.0,60.6,19.0,"Адрес помещения для голосования: 195297, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, Суздальский проспект, дом 93, корпус 2, ГБОУ Лицей №144"
75,489,1901,1500,519,25,956,25,519,16,528,0,0,87,348,93,15.9,63.9,17.1,"Адрес помещения для голосования: 195267, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Ушинского, дом 16, ГБПОУ «Колледж отраслевых технологий «Краснодеревец»"
76,490,1946,1500,571,6,923,6,571,15,562,0,0,72,392,98,12.4,67.9,16.9,"Адрес помещения для голосования: 195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Тимуровская, дом 8, корпус 2, ГБОУ СОШ №119"
77,491,1832,1500,450,14,1036,14,450,10,454,0,0,72,307,75,15.5,66.1,16.1,"Адрес помещения для голосования: 195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Тимуровская, дом 8, корпус 2, ГБОУ СОШ №119"
78,492,2197,2000,489,2,1509,2,489,8,483,0,0,73,336,74,14.8,68.4,15.0,"Адрес помещения для голосования: 195276, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Тимуровская, дом 8, корпус 2, ГБОУ СОШ №119"
79,493,2224,2000,559,6,1435,6,559,14,551,0,0,119,333,99,21.0,58.9,17.5,"Адрес помещения для голосования: 195297, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Ольги Форш, дом 17, корпус 2, ГБОУ СОШ №128"
80,494,1982,1500,480,6,1014,6,480,19,467,0,0,81,299,87,16.6,61.5,17.9,"Адрес помещения для голосования: 195297, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Ольги Форш, дом 17, корпус 2, ГБОУ СОШ №128"
81,495,2497,2000,588,7,1405,7,588,6,589,0,0,66,478,45,11.0,80.3,7.5,"Адрес помещения для голосования: 195297, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Ольги Форш, дом 17, корпус 2, ГБОУ СОШ №128"
82,496,1819,1500,464,5,1031,5,462,23,444,0,0,94,266,84,20.1,56.9,17.9,"Адрес помещения для голосования: 195269, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Учительская, дом 9, корпус 3, ГБПУ «Акушерский колледж»"
83,497,1942,1500,481,6,1013,6,481,16,471,0,0,103,285,83,21.1,58.5,17.0,"Адрес помещения для голосования: 195269, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Учительская, дом 3, ГБПОУ «Автодорожный колледж»"
84,498,2283,2000,521,2,1477,2,521,29,494,0,0,105,298,91,20.0,56.9,17.4,"Адрес помещения для голосования: 195269, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Учительская, дом 1, ГБПУ «Высшая банковская школа»"
85,499,2542,2000,549,25,1426,25,538,32,531,0,0,96,338,97,17.0,60.0,17.2,"Адрес помещения для голосования: 195269, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Ольги Форш, дом 9, литера А, ГБОУ СОШ №136"
86,500,2569,2000,466,7,1527,7,466,7,466,0,0,90,274,102,19.0,57.9,21.5,"Адрес помещения для голосования: 195269, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Ольги Форш, дом 9, литера А, ГБОУ СОШ №136"
87,501,1676,1500,508,12,980,12,507,13,506,0,0,100,333,73,19.2,64.1,14.0,"Адрес помещения для голосования: 195269, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Ольги Форш, дом 9, литера А, ГБОУ СОШ №136"
88,502,2846,2500,728,26,1746,26,719,9,736,0,0,149,453,134,20.0,60.8,17.9,"Адрес помещения для голосования: 195297, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Ушинского, дом 10, корпус 2, литера А, ГБУ СШОР №3"
89,503,3035,2500,736,21,1743,21,687,24,684,0,0,206,347,131,29.1,49.0,18.5,"Адрес помещения для голосования: 195297, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Ушинского, дом 10, корпус 2, литера А, ГБУ СШОР №3"
90,504,2480,2000,613,6,1381,6,612,14,604,0,0,89,453,62,14.4,73.3,10.0,"Адрес помещения для голосования: 195269, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Брянцева, дом 10, ГБОУ СОШ №79"
91,505,2595,2000,738,25,1237,25,738,16,747,0,0,111,532,104,14.5,69.7,13.6,"Адрес помещения для голосования: 195269, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Брянцева, дом 10, ГБОУ СОШ №79"
92,506,2790,2000,702,9,1289,9,692,19,682,0,0,150,392,140,21.4,55.9,19.9,"Адрес помещения для голосования: 195269, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Прометей, улица Брянцева, дом 10, ГБОУ СОШ №79"
93,507,117,135,67,47,21,47,67,4,110,0,0,22,72,16,19.3,63.1,14.0,Данных нет
94,508,418,450,278,85,87,85,278,9,354,0,0,22,291,41,6.0,80.1,11.2,Данных нет
95,509,3402,4000,2918,0,1082,0,2918,77,2841,0,0,249,2045,547,8.5,70.0,18.7,"Адрес помещения для голосования: 194064, Город Санкт-Петербург, Калининский район, муниципальное образование муниципальный округ Академическое, Тихорецкий проспект, дом 9, корпус 6, ГБДОУ Детский сад №21"
96,2314,551,650,280,52,318,52,279,3,328,0,0,23,287,18,6.9,86.7,5.4,Данных нет
97,2315,375,500,112,42,346,42,112,3,151,0,0,6,136,9,3.9,88.3,5.8,Данных нет
98,2357,200,200,182,13,5,13,182,0,195,0,0,7,183,5,3.5,93.8,2.5,Данных нет
99,2358,451,500,265,184,51,184,265,3,446,0,0,23,391,32,5.1,87.0,7.1,Данных нет
